1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
d2555,0,d2555,0,0,d2555,0,0,d1444,-d1444,d1444,-d1444,0,0,0,-d1444,0,-d1444,0,0,0,0,-d1444,-d1444,0,0,0,d1444,0,0,d1444,0,0
d2556,0,0,d2556,0,0,0,0,0,0,0,0,0,0,0,d1244/2 - d1144/2,0,d1244/2 - d1144/2,0,0,d1244/2 - d1144/2,0,0,0,0,0,0,0,0,0,0,0,0
d2566,0,d2566,0,0,d2566,0,0,d1466,-d1466,d1466,-d1466,0,0,0,d1124/2 - d1114/4 - d1224/4,0,d1124/2 - d1114/4 - d1224/4,0,0,0,0,d1124/2 - d1114/4 - d1224/4,d1124/2 - d1114/4 - d1224/4,0,0,0,d1455,d1455,0,d1455,0,0
d2666,0,0,d2666,0,0,0,0,0,0,0,0,0,0,0,- d1111/4 - (3*d1122)/4,0,- d1111/4 - (3*d1122)/4,0,0,- d1111/4 - (3*d1122)/4,0,0,0,0,0,0,0,0,0,0,0,0
d3111,0,0,d3111,0,0,d3111,0,d3111,d3111,0,0,0,d3111,0,d3111,0,0,d3111,0,0,0,d3111,0,0,d3111,0,0,0,0,0,0,0
d3112,0,0,d3112,0,0,d3112,0,d3112,d3112,0,0,0,d3112,0,d3112,0,0,d3112,0,0,0,d3112,0,0,d3112,0,0,0,0,0,0,0
d3113,0,0,d3113,0,0,d3113,0,d3113,d3113,0,0,0,d3113,0,d3113,0,0,d3113,0,0,0,d3113,0,0,d3113,0,0,0,0,0,0,0
d3114,0,d3114,0,0,0,0,0,0,0,0,0,0,0,0,d3114,0,0,d3114,0,d3114,d3114,0,0,0,0,0,0,0,0,0,0,0
d3115,0,0,d3115,0,0,0,0,0,0,0,0,0,0,0,d3115,0,d3115,0,0,d3115,0,0,0,0,0,0,0,0,0,0,0,0
d3116,0,d3116,0,0,d3116,0,0,d3116,d3116,d3116,d3116,0,0,0,d3116,0,d3116,0,0,0,0,d3116,d3116,0,0,0,d1224,d1224,0,d1224,0,0
d3122,0,0,d3122,0,0,d3122,0,-d3112,d3112,0,0,0,d3112,0,d3122,0,0,d3122,0,0,0,d3122,0,0,d3122,0,0,0,0,0,0,0
d3123,0,0,d3123,0,0,d3123,0,0,d3123,0,0,0,d3123,0,d3123,0,0,d3123,0,0,0,d3123,0,0,d3123,0,0,0,0,0,0,0
d3124,0,d3124,0,0,0,0,0,0,0,0,0,0,0,0,d3124,0,0,d3124,0,d3124,d3124,0,0,0,0,0,0,0,0,0,0,0
d3125,0,0,d3125,0,0,0,0,0,0,0,0,0,0,0,d3125,0,d3125,0,0,d3125,0,0,0,0,0,0,0,0,0,0,0,0
d3126,0,d3126,0,0,d3126,0,0,d3126,0,d3126,0,0,0,0,-d3116,0,-d3116,0,0,0,0,-d3116,-d3116,0,0,0,d1234,0,0,d1234,0,0
d3133,0,0,d3133,0,0,d3133,0,d3133,d3133,0,0,0,d3133,0,d3133,0,0,d3133,0,0,0,d3133,0,0,d3133,0,0,0,0,0,0,0
d3134,0,d3134,0,0,0,0,0,0,0,0,0,0,0,0,d3134,0,0,d3134,0,d3134,d3134,0,0,0,0,0,0,0,0,0,0,0
d3135,0,0,d3135,0,0,0,0,0,0,0,0,0,0,0,d3135,0,d3135,0,0,d3135,0,0,0,0,0,0,0,0,0,0,0,0
d3136,0,d3136,0,0,d3136,0,0,d3136,d3136,d3136,d3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d1124,d1124,0,d1124,0,0
d3144,0,0,d3144,0,0,d3144,0,d3144,d3144,0,0,0,d3144,0,d3144,0,0,d3144,0,0,0,d3144,0,0,d3144,0,0,0,0,0,0,0
d3145,0,d3145,0,0,d3145,0,0,d3145,d3145,d3145,d3145,0,0,0,d3145,0,d3145,0,0,0,0,d3145,d3145,0,0,0,d1256,d1256,0,d1256,0,0
d3146,0,0,d3146,0,0,0,0,0,0,0,0,0,0,0,- d3115/2 - (3*d3125)/2,0,- d3115/2 - (3*d3125)/2,0,0,- d3115/2 - (3*d3125)/2,0,0,0,0,0,0,0,0,0,0,0,0
d3155,0,0,d3155,0,0,d3155,0,d3155,d3155,0,0,0,d3155,0,d3155,0,0,d3155,0,0,0,d3155,0,0,d3155,0,0,0,0,0,0,0
d3156,0,d3156,0,0,0,0,0,0,0,0,0,0,0,0,d3114/2 + (3*d3124)/2,0,0,d3114/2 + (3*d3124)/2,0,d3114/2 + (3*d3124)/2,d3114/2 + (3*d3124)/2,0,0,0,0,0,0,0,0,0,0,0
d3166,0,0,d3166,0,0,d3166,0,d3166,d3166,0,0,0,d3166,0,d3111/4 + d3112/2 - (3*d3122)/4,0,0,d3111/4 + d3112/2 - (3*d3122)/4,0,0,0,d3111/4 + d3112/2 - (3*d3122)/4,0,0,d3111/4 + d3112/2 - (3*d3122)/4,0,0,0,0,0,0,0
d3222,0,0,d3222,0,0,d3222,0,-d3111,d3111,0,0,0,d3111,0,d3111 + d3112 - d3122,0,0,d3111 + d3112 - d3122,0,0,0,d3111 + d3112 - d3122,0,0,d3111 + d3112 - d3122,0,0,0,0,0,0,0
d3223,0,0,d3223,0,0,d3223,0,-d3113,d3113,0,0,0,d3113,0,d3113,0,0,d3113,0,0,0,d3113,0,0,d3113,0,0,0,0,0,0,0
d3224,0,d3224,0,0,0,0,0,0,0,0,0,0,0,0,- d3114 - 2*d3124,0,0,- d3114 - 2*d3124,0,- d3114 - 2*d3124,- d3114 - 2*d3124,0,0,0,0,0,0,0,0,0,0,0
d3225,0,0,d3225,0,0,0,0,0,0,0,0,0,0,0,- d3115 - 2*d3125,0,- d3115 - 2*d3125,0,0,- d3115 - 2*d3125,0,0,0,0,0,0,0,0,0,0,0,0
d3226,0,d3226,0,0,d3226,0,0,d3116,-d3116,d3116,-d3116,0,0,0,d3116,0,d3116,0,0,0,0,d3116,d3116,0,0,0,d1334,-d1224,0,d1224,0,0
d3233,0,0,d3233,0,0,d3233,0,-d3133,d3133,0,0,0,d3133,0,d3133,0,0,d3133,0,0,0,d3133,0,0,d3133,0,0,0,0,0,0,0
