1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 d23555,0, d23555,0,0, d23555,0,0,  d13444, -d13444, d13444, -d13444,0,0,0,                                                                                                -d13444,0,                                                                                                -d13444,0,0,0,0,                                                                                                -d13444,                                                                                                -d13444,0,0,0, d12444,  d12444,0, d12444,0,0
 d23556,0,0, d23556,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d12344/2 - d11344/2,0,                                                                                    d12344/2 - d11344/2,0,0,                                                       d12344/2 - d11344/2,0,0,0,0,0,0,0,0,0,0,0,0
 d23566,0, d23566,0,0, d23566,0,0,  d13466, -d13466, d13466, -d13466,0,0,0,                                                                         d11234/2 - d11134/4 - d12234/4,0,                                                                         d11234/2 - d11134/4 - d12234/4,0,0,0,0,                                                                         d11234/2 - d11134/4 - d12234/4,                                                                         d11234/2 - d11134/4 - d12234/4,0,0,0, d12455,  d12455,0, d12455,0,0
 d23666,0,0, d23666,0,0,0,0,0,0,0,0,0,0,0,                                                                              - d11113/4 - (3*d11223)/4,0,                                                                              - d11113/4 - (3*d11223)/4,0,0,                                                 - d11113/4 - (3*d11223)/4,0,0,0,0,0,0,0,0,0,0,0,0
 d24444,0, d24444,0,0,0,0,0,0,0,0,0,0,0,0,                                                                              - d14445/2 - (3*d14555)/2,0,0,                                                                              - d14445/2 - (3*d14555)/2,0,                                                 - d14445/2 - (3*d14555)/2,                                               - d14445/2 - (3*d14555)/2,0,0,0,0,0,0,0,0,0,0,0
 d24445,0,0, d24445,0,0,0,0,0,0,0,0,0,0,0,                                                                                d14444/2 + (3*d14455)/2,0,                                                                                d14444/2 + (3*d14455)/2,0,0,                                                   d14444/2 + (3*d14455)/2,0,0,0,0,0,0,0,0,0,0,0,0
 d24446,0, d24446,0,0, d24446,0,0,  d15556, -d15556, d15556, -d15556,0,0,0,                                                                                (3*d11455)/2 - d12444/2,0,                                                                                (3*d11455)/2 - d12444/2,0,0,0,0,                                                                                (3*d11455)/2 - d12444/2,                                                                                (3*d11455)/2 - d12444/2,0,0,0, d15666, -d15556,0, d15556,0,0
 d24455,0, d24455,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                    d14555/2 - d14445/2,0,0,                                                                                    d14555/2 - d14445/2,0,                                                       d14555/2 - d14445/2,                                                     d14555/2 - d14445/2,0,0,0,0,0,0,0,0,0,0,0
 d24456,0,0, d24456,0,0, d24456,0, -d14556,  d14556,0,0,0, d14556,0,                                                                           d11555/2 - d11445 - d12445/2,0,0,                                                                           d11555/2 - d11445 - d12445/2,0,0,0,                                                                           d11555/2 - d11445 - d12445/2,0,0,                                                                           d11555/2 - d11445 - d12445/2,0,0,0,0,0,0,0
 d24466,0, d24466,0,0,0,0,0,0,0,0,0,0,0,0,                                                              d11245/2 - d11145/2 + d11556/2 - d12446/2,0,0,                                                              d11245/2 - d11145/2 + d11556/2 - d12446/2,0,                                 d11245/2 - d11145/2 + d11556/2 - d12446/2,                               d11245/2 - d11145/2 + d11556/2 - d12446/2,0,0,0,0,0,0,0,0,0,0,0
